h,2009,2010,2011,2012,2013,2014,2015,2016,2017
146.0,53238.552506975786,53436.376240383775,49594.265295336336,46593.97959744957,43530.66212930833,47967.74188256978,50517.074754755755,49983.29175163099,55623.94470192543
147.0,53742.6524255058,54014.95368190054,51161.69005040007,46796.10571927726,45877.13984408661,49654.139593369204,51616.224271006315,51428.263090354565,55025.19510049441
148.0,55853.840118494765,56401.585628157176,53368.77031250286,46285.765179634975,50584.774874361225,53502.95077410805,55105.18357884521,55000.18301425392,54828.813769543776
149.0,61793.17120989331,62244.57012616132,58005.466450081665,46028.91983145615,59898.41692993931,61910.52826353387,63251.52155980509,62398.354226143085,54613.22122143493
150.0,68601.75151978272,69608.4792791974,64024.67852388267,48978.174459892165,68795.38416513569,69850.22701534345,70283.42991075746,69181.20762168439,57586.690721589664
151.0,70587.99136971723,71954.09267549576,67143.40226492513,53345.66209783736,71783.24751128744,72249.63123716241,73253.88402511022,71917.32084504455,61698.95848328966
152.0,71555.26001681117,72101.9753424506,68620.52271311276,56973.88182058958,72422.37474255043,71810.23207487933,73449.4694811993,71888.60601361499,65269.04300519116
153.0,72150.9165444759,72634.137056383,69751.47665160868,59724.36048391328,73262.49958364526,72260.81964175758,74369.3323293682,72451.62181557328,67428.17035580603
154.0,72852.13245679009,73259.13022548413,70834.05328284955,61482.07604058056,74564.46724733118,73156.90913706174,75289.19517753711,73749.94240806728,68524.27702366636
155.0,72843.51536416565,73198.68183607193,70883.50564137695,60892.448458674386,74189.57282899317,72662.58507949328,74918.39775036825,73743.7892299038,68140.05268050208
156.0,72255.39879254729,72522.95519728556,69836.40570212311,59863.95034705395,73870.00921336167,71986.19516533066,74216.53119179863,73468.94727193509,66811.27682705893
157.0,71417.38653482005,71586.00516139648,68249.63002415736,58259.22528038884,72766.7807593971,70673.08331693377,73050.14917501745,72882.3442870168,65736.51595604104
158.0,70648.31101808835,71319.38458666767,67657.27677310104,57996.79633768439,72171.69233028826,70232.66702696022,72362.5440559543,72762.35731282896,65574.28790003834
159.0,71309.67287701448,71519.08015883298,69348.33242448325,59966.68848632548,72885.34676519677,71310.82237885852,73218.23042634399,73691.48721551424,67142.13667811707
160.0,74586.3223474596,75053.15206839617,72166.04180927204,63613.89243046483,75542.35449516466,75572.58740192822,76930.27939503448,76083.0224617196,70433.65855122445
161.0,74236.25295959154,75911.30331094435,71444.68240553557,63551.356171777814,75230.69527991982,75628.52942490407,76445.39045181366,75450.27064057521,70325.86227717003
162.0,71912.86936072561,74876.12464226045,68935.51273590678,61464.20853809856,73111.18677624376,73620.71936391611,74379.51907187284,73226.92226417159,67954.34424797268
163.0,68175.20543487271,71609.75274295127,64835.2671832229,57452.95423088835,68645.20055778943,69265.37859332316,70073.5830151619,68904.31460432784,64240.17559738457
164.0,65760.26522687207,68801.06150633446,62160.539617654606,54902.36825158208,64956.10397733677,65308.75187739447,66604.99719233229,65491.35178298502,61909.214582187895
165.0,64872.70468655426,67090.15619886419,61137.09080639214,54798.513393405425,61909.5222283128,61878.997305129305,64097.02118769014,62621.91969941614,61427.86686339041
166.0,60890.530757482724,63104.880239759936,56974.492279912854,51066.43881247655,56225.129150259934,56578.74491008963,59162.56311844296,57911.66181527323,58556.857188079484
167.0,57893.93679733206,59737.041401080285,53422.52287611958,46895.49370183341,52009.825344067765,52593.63861882779,55597.203241819276,54116.17641810082,55461.71664592273
168.0,55707.34954387921,57375.23647190366,51047.734615532616,43833.45046397974,49533.489622937464,50117.94982022357,53174.7958742161,52054.86173333547,52854.32756161619
169.0,54173.50705672804,55682.681568362095,49680.2693971231,42740.18265586203,48804.02638725567,49060.137022134666,52275.306511056464,50945.23860452149,51384.66944901279
170.0,53029.588010833,54522.28837875292,48810.55291780447,42192.99039235061,49460.09161934719,49812.81151308254,52574.79674069285,51343.144125759776,50564.990850262315
171.0,53296.71788219079,54940.02992701223,48861.080327604184,42807.185790169555,50877.23768866708,51335.451665716275,53712.65587846104,52570.703169373766,50188.23753599289
172.0,55369.12865836975,56976.92476309828,48036.516001723605,42468.819961916575,53999.475841391795,55006.26550062286,56611.80279528133,55984.6915204105,49545.72905103483
173.0,60730.03740735244,62119.35560523605,47378.58462305488,41141.04118372255,62417.66225316854,63651.850869618684,64553.38725189797,63470.03275628228,48594.77380170322
